mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: FrKbkIGrdbNCx|5-2) should print 10 examples: cZmMrTA4m6_x-|6-3) should print 10 examples: wEVNUFzvTYzki|7-4) should print 10 examples: shssIMR0F9zQh|8-5) should print 10 examples: p-dylfAo_BW3-|9-6) should print 10 examples: n2LvdS61jzwYm|10-7) should print 10 examples: NwwL_26A82p28|11-8) should print 10 examples: UQR3nfKTvKwu5|12-9) should print 10 examples: VnYSR2RtjtCsR|13-10) should print 10 examples: WFtQi0bwgC-rv|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (132ms)
MUTANT 1|4253ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 4|4309ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 3|4332ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 5|4452ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 7|4497ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|4529ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 8|4770ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 9|4715ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 10|4824ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 11|4559ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 12|4517ms|1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 13|4517ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 14|4514ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 15|4530ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 16|4504ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 17|4562ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 19|4443ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 20|4479ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 22|4469ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 23|4471ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 24|4552ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 25|4527ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 26|4588ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 27|4611ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 28|4610ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 29|4571ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|4595ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|4408ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|4518ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|4490ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|4562ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1420ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1271ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|4530ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|4588ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|4431ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|4469ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|4672ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|4880ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|4694ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|4711ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4523ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|4565ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|4218ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|4182ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|3961ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 52|3877ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|4194ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|4720ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 55|4314ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 56|4249ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 58|1277ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|1359ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1287ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1248ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1192ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|4637ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 65|1263ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1278ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 60|4338ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 64|4283ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|4235ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 68|4181ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 69|4625ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 70|4453ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 72|4355ms|1|1|0|1|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 71|4547ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|4546ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|4479ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|4473ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|4574ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 77|4647ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|4499ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|4506ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|4515ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 81|4519ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 82|4480ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 83|4570ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 84|4508ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 85|4146ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 86|4108ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 87|4114ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 88|4151ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 89|4512ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 90|4464ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 92|4507ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 93|4403ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 94|4355ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 95|4284ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 96|4218ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 98|1235ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 99|1276ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 97|4295ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 100|4295ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 101|4342ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 104|1244ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 102|4806ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 103|4410ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 105|4633ms|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 106|4686ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|4557ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|4597ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|4534ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|4539ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|4617ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|4616ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|4693ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|4757ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|4684ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|4714ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|4620ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|4628ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 119|4547ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|4168ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 122|3593ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|4578ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 124|4851ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 123|5168ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|4698ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 126|4732ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|4345ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0
MUTANT 127|4785ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|3695ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|3847ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|4706ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|4924ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|4639ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 134|4781ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|4622ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|4651ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|4621ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 140|2627ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 139|3366ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|5691ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 141|4926ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 143|4740ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 142|5680ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 144|4706ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|4863ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 146|4574ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 148|3599ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 147|4602ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 151|1449ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 152|1437ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 149|3894ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 150|3988ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 158|1365ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 159|1452ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 160|1414ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 162|1244ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 163|1272ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 164|1331ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 165|1513ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 166|1449ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 161|4785ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 167|1368ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 168|3652ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 169|3699ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 170|3627ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 173|3712ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 171|4326ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 172|4333ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
